case_id,crime_category,ipc_section,case_facts,evidence_strength,number_of_witnesses,accused_prior_record,punishment_years,fine_amount,verdict,case_description
1,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: No.,Weak,5,No,2,5572,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
2,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Strong. 5 witnesses were presented in court. Prior criminal record: Yes.,Strong,5,Yes,5,28651,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Strong in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
3,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: Yes.,Weak,0,Yes,10,19390,Convicted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
4,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Strong. 5 witnesses were presented in court. Prior criminal record: No.,Strong,5,No,3,30439,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Strong in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
5,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: Yes.,Moderate,0,Yes,0,0,Acquitted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
6,Cybercrime,66,The accused was charged with cybercrime under IPC section 66. Evidence strength was Moderate. 1 witnesses were presented in court. Prior criminal record: Yes.,Moderate,1,Yes,0,0,Acquitted,"This case involves a charge of Cybercrime under IPC section 66. The prosecution presented evidence considered Moderate in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
7,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Weak. 3 witnesses were presented in court. Prior criminal record: Yes.,Weak,3,Yes,3,23541,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Weak in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
8,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: No.,Moderate,0,No,5,3582,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
9,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: No.,Moderate,5,No,18,3279,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
10,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Strong. 1 witnesses were presented in court. Prior criminal record: No.,Strong,1,No,12,16256,Convicted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Strong in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
11,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: No.,Moderate,2,No,0,0,Acquitted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
12,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: Yes.,Moderate,2,Yes,0,0,Acquitted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
13,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Strong. 5 witnesses were presented in court. Prior criminal record: Yes.,Strong,5,Yes,5,48784,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Strong in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
14,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Weak. 3 witnesses were presented in court. Prior criminal record: No.,Weak,3,No,0,0,Acquitted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Weak in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
15,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: No.,Weak,5,No,10,27928,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
16,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Moderate. 3 witnesses were presented in court. Prior criminal record: No.,Moderate,3,No,16,19585,Convicted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Moderate in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
17,Cybercrime,66,The accused was charged with cybercrime under IPC section 66. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: No.,Weak,5,No,0,0,Acquitted,"This case involves a charge of Cybercrime under IPC section 66. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
18,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Weak. 2 witnesses were presented in court. Prior criminal record: Yes.,Weak,2,Yes,7,25478,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Weak in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
19,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Moderate. 4 witnesses were presented in court. Prior criminal record: No.,Moderate,4,No,0,0,Acquitted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Moderate in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
20,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Weak. 4 witnesses were presented in court. Prior criminal record: No.,Weak,4,No,2,29216,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Weak in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
